                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.3342,                 1.5565,                 1.6864,                0.28199,                0.29646,                0.20816,                0.08782,                 2.2777,                 2.8613,                 2.5036,              0.0099139,              0.0099139,              0.0099139
                     90,                 1.3118,                  1.554,                 1.6748,                0.43014,                0.22124,                0.17984,                 0.0798,                 2.1254,                 2.9822,                 2.3401,              0.0099129,              0.0099129,              0.0099129
                     91,                 1.3214,                 1.5009,                  1.669,                  0.307,                0.27434,                0.19621,                0.08033,                 2.2782,                 2.8435,                 2.4902,              0.0099119,              0.0099119,              0.0099119
                     92,                 1.3513,                 1.5517,                 1.6836,                0.30205,                0.26426,                0.21964,                0.10306,                 2.1393,                 2.7117,                 2.3092,              0.0099109,              0.0099109,              0.0099109
                     93,                 1.3213,                 1.5171,                 1.6639,                0.29755,                0.34112,                0.25038,                0.12146,                  2.079,                 2.6231,                 2.3357,              0.0099099,              0.0099099,              0.0099099
                     94,                 1.3036,                 1.5229,                 1.6673,                 0.2881,                0.21681,                0.15974,                0.07007,                 2.2184,                 3.0903,                 2.3905,              0.0099089,              0.0099089,              0.0099089
                     95,                 1.2771,                 1.4896,                  1.635,                0.31396,                0.29646,                0.21165,                0.10269,                 2.1864,                 2.7846,                 2.3466,              0.0099079,              0.0099079,              0.0099079
                     96,                 1.2793,                  1.488,                 1.6325,                0.33786,                0.27434,                0.23812,                0.11395,                 2.2629,                  2.746,                 2.4033,              0.0099069,              0.0099069,              0.0099069
                     97,                 1.3236,                 1.5205,                 1.6578,                0.32205,                0.32581,                0.26102,                0.11133,                 2.1935,                 2.5784,                 2.4251,               0.009906,               0.009906,               0.009906
                     98,                  1.291,                 1.4773,                 1.6447,                0.28882,                0.28761,                0.24106,                0.10971,                 2.1675,                 2.7155,                 2.4286,               0.009905,               0.009905,               0.009905
                     99,                 1.2864,                 1.4593,                 1.6375,                0.24179,                0.33186,                0.17846,                 0.0782,                 2.1367,                 2.8947,                 2.3939,               0.009904,               0.009904,               0.009904
                    100,                 1.3075,                 1.4839,                 1.6509,                0.26078,                0.36726,                0.22399,                0.10409,                 2.2326,                 2.7023,                 2.4519,               0.009903,               0.009903,               0.009903
                    101,                 1.2778,                 1.4964,                 1.6338,                0.40907,                0.25664,                0.20527,                0.08915,                 2.2338,                  3.124,                 2.4546,               0.009902,               0.009902,               0.009902
                    102,                 1.2892,                 1.4619,                 1.6512,                 0.2525,                0.30531,                0.17832,                0.07928,                 2.0505,                  2.871,                 2.3256,               0.009901,               0.009901,               0.009901
                    103,                 1.2779,                 1.4902,                 1.6344,                0.24234,                0.31416,                  0.205,                0.09186,                 2.2037,                 2.7362,                  2.434,                 0.0099,                 0.0099,                 0.0099
                    104,                 1.2781,                  1.517,                 1.6514,                0.32312,                0.18142,                0.17202,                0.09057,                  2.255,                 2.9834,                 2.5115,               0.009899,               0.009899,               0.009899
                    105,                 1.2921,                 1.4863,                 1.6241,                0.37767,                0.19912,                0.21771,                0.10778,                 2.2176,                 2.7308,                 2.3958,               0.009898,               0.009898,               0.009898
                    106,                 1.2862,                 1.4918,                 1.6305,                0.22196,                0.34071,                0.23109,                0.10306,                 2.1605,                 2.7525,                 2.4107,               0.009897,               0.009897,               0.009897
                    107,                 1.2539,                 1.4274,                 1.6129,                0.29468,                0.27434,                0.20604,                0.09809,                 2.3402,                 2.9298,                 2.5154,              0.0098961,              0.0098961,              0.0098961
                    108,                 1.2842,                  1.477,                 1.6219,                0.36126,                0.23451,                0.21698,                0.10824,                  2.288,                 2.9614,                 2.4333,              0.0098951,              0.0098951,              0.0098951
                    109,                 1.2504,                 1.4582,                 1.6121,                0.28157,                0.22124,                0.17461,                0.07386,                  2.204,                 2.8926,                 2.4085,              0.0098941,              0.0098941,              0.0098941
                    110,                 1.2827,                 1.4025,                 1.6272,                0.31994,                0.29144,                0.23225,                0.11329,                 2.1527,                  2.606,                 2.3418,              0.0098931,              0.0098931,              0.0098931
                    111,                 1.2612,                  1.412,                 1.6284,                0.37112,                0.19469,                0.19246,                0.10006,                  2.225,                 2.8137,                  2.372,              0.0098921,              0.0098921,              0.0098921
                    112,                 1.2671,                 1.4295,                 1.6141,                0.26993,                0.31416,                0.20813,                0.09019,                 2.2743,                 2.7169,                 2.4945,              0.0098911,              0.0098911,              0.0098911
                    113,                 1.2501,                 1.4279,                 1.6206,                0.32344,                0.26106,                0.22835,                 0.1031,                 2.2392,                 2.8274,                 2.4254,              0.0098901,              0.0098901,              0.0098901
                    114,                 1.2478,                 1.4164,                 1.5984,                0.25617,                0.30973,                0.18599,                0.08879,                 2.2455,                 3.1228,                 2.4836,              0.0098891,              0.0098891,              0.0098891
                    115,                 1.2572,                 1.4441,                 1.6147,                0.32459,                 0.2488,                0.22222,                0.11022,                 2.1911,                  2.737,                 2.3508,              0.0098881,              0.0098881,              0.0098881
                    116,                 1.2302,                 1.4174,                 1.6067,                0.29762,                0.28319,                0.21116,                0.10385,                  2.376,                 3.0121,                 2.5324,              0.0098871,              0.0098871,              0.0098871
                    117,                 1.2662,                 1.4194,                 1.6234,                0.20519,                0.25221,                0.15697,                0.07053,                 2.2688,                 3.1224,                 2.4505,              0.0098861,              0.0098861,              0.0098861
                    118,                 1.2293,                 1.3718,                 1.5902,                0.37315,                0.27131,                0.21802,                0.10606,                 2.4145,                 2.9751,                  2.483,              0.0098852,              0.0098852,              0.0098852
                    119,                 1.2476,                 1.4168,                 1.6263,                0.40251,                0.25933,                0.21598,                0.10435,                 2.2548,                 2.7945,                 2.3985,              0.0098842,              0.0098842,              0.0098842
                    120,                 1.2687,                 1.4392,                 1.6275,                0.25728,                0.23758,                0.18009,                0.09024,                 2.3035,                 3.0932,                 2.3932,              0.0098832,              0.0098832,              0.0098832
                    121,                 1.2574,                 1.4239,                  1.604,                0.39457,                0.22566,                0.20679,                0.10035,                 2.1787,                  2.899,                 2.3595,              0.0098822,              0.0098822,              0.0098822
                    122,                 1.2044,                 1.3896,                 1.5683,                0.32068,                0.29204,                0.21929,                0.10288,                 2.3571,                 2.7025,                 2.5673,              0.0098812,              0.0098812,              0.0098812
                    123,                 1.2496,                 1.4314,                 1.6113,                0.32132,                0.27876,                0.23355,                0.11826,                 2.1247,                 2.8498,                 2.3651,              0.0098802,              0.0098802,              0.0098802
                    124,                 1.2694,                 1.4201,                 1.6216,                0.26892,                0.30531,                 0.2278,                0.10894,                 2.1355,                   2.84,                 2.3724,              0.0098792,              0.0098792,              0.0098792
                    125,                  1.236,                 1.3921,                 1.5986,                0.38246,                0.23894,                0.24363,                0.11471,                 2.1526,                  2.854,                 2.4297,              0.0098782,              0.0098782,              0.0098782
                    126,                 1.2496,                 1.4305,                 1.6223,                 0.3313,                0.28319,                0.21821,                0.10361,                 2.1936,                 3.0295,                 2.3743,              0.0098772,              0.0098772,              0.0098772
                    127,                 1.2458,                 1.4114,                 1.6026,                0.27625,                0.29556,                0.21507,                0.08963,                 2.1389,                 2.7905,                 2.3434,              0.0098763,              0.0098763,              0.0098763
